Title,Description,Source URL,Price,Currency,Image URL,Size and Fit,Details,Relevance Score
MAISON KITSUNÉ,Appliquéd shell track jacket,https://www.theoutnet.com/en-us/shop/product/maison-kitsune/jackets/casual-jackets/appliqued-shell-track-jacket/1647597332839940,201,USD,https://www.theoutnet.com/variants/images/1647597332839940/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Track jacket
Shell
Logo-appliquéd
Two side welt pockets
Two-way zip fastening through front
Mid-weight, non-stretchy fabric
Machine wash or dry clean
Imported
100% Polyamide",0.4
THOM BROWNE,Cotton-gabardine blazer,https://www.theoutnet.com/en-us/shop/product/thom-browne/jackets/blazers/cotton-gabardine-blazer/1647597342761082,777,USD,https://www.theoutnet.com/variants/images/1647597342761082/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing the designer’s size 2
Designed for a regular fit
Fits small to size, take one size larger than normal
Size Guide","Blazer
Cotton-gabardine
Grosgrain trims
Notch lapels
Buttoned cuffs
Chest pocket
Two front flap pockets
Internal pocket
Button fastenings through front
Partially lined
Dual back vents
Mid-weight, non-stretchy fabric
Dry clean
Made in Japan
100% Cotton",0.75
IRO,Murphy faded denim jacket,https://www.theoutnet.com/en-us/shop/product/iro/jackets/casual-jackets/murphy-faded-denim-jacket/1647597330980136,178,USD,https://www.theoutnet.com/variants/images/1647597330980136/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Faded
Denim
Buttoned waist tabs
Buttoned cuffs
Chest pockets
Two front welt pockets
Button fastenings through front
Non-stretchy fabric
Mid-weight fabric
Machine wash or dry clean
Imported
100% Cotton",0.2
DOLCE&GABBANA,Satin-trimmed wool-blend twill blazer,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/blazers/satin-trimmed-wool-blend-twill-blazer/1647597336777402,944,USD,https://www.theoutnet.com/variants/images/1647597336777402/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits large to size, take one cup size smaller than usual
Size Guide","Blazer
Twill
Wool-blend
Satin trims
Peak lapels
Buttoned cuffs
Chest pocket
Two front flap pockets
Button fastenings through front
Fully lined
Back vent
Slightly stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
70% Wool 18% Silk 10% Polyester 2% Elastane",1.0
DOLCE&GABBANA,Cotton-blend twill blazer,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/blazers/cotton-blend-twill-blazer/1647597336343553,704,USD,https://www.theoutnet.com/variants/images/1647597336343553/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Twill
Cotton-blend
Notch lapels
Buttoned cuffs
Chest pocket
Two front patch pockets
Button fastenings through front
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
98% Cotton 2% Elastane",0.9
ALEX MILL,Cotton-corduroy overshirt,https://www.theoutnet.com/en-us/shop/product/alex-mill/jackets/casual-jackets/cotton-corduroy-overshirt/1647597344513886,113,USD,https://www.theoutnet.com/variants/images/1647597344513886/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Overshirt
Cotton-corduroy
Buttoned cuffs
Chest pockets
Two front patch pockets
Button fastenings through front
Fully lined
Mid-weight, non-stretchy fabric
Machine wash
Imported
100% Cotton",0.4
FUSALP,Quilted stretch-jersey and shell jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/activewear/active-jackets/quilted-stretch-jersey-and-shell-jacket/1647597329552308,117,USD,https://www.theoutnet.com/variants/images/1647597329552308/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slim fit
Fits true to size, take your normal size
Size Guide","Jacket
Stretch-jersey
Shell
Paneled
Quilted
Zip pockets
Zip fastening through front
Non-stretchy fabric with stretchy panels
Machine wash
Imported
88% Polyester 12% Elastane",0.6
SANDRO,Checked wool-tweed blazer,https://www.theoutnet.com/en-us/shop/product/sandro/jackets/blazers/checked-wool-tweed-blazer/1647597336554329,278,USD,https://www.theoutnet.com/variants/images/1647597336554329/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Checked
Wool-tweed
Buttoned cuffs
Chest pocket
Two side flap pockets
Button fastenings through front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Imported
100% Virgin Wool",0.9
MISSONI,Shell and jacquard-knit jacket,https://www.theoutnet.com/en-us/shop/product/missoni/jackets/casual-jackets/shell-and-jacquard-knit-jacket/1647597336631942,267,USD,https://www.theoutnet.com/variants/images/1647597336631942/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Jacket
Shell
Jacquard-knit
Paneled
Embroidered logo
Two side slit pockets
Snap fastenings through front
Drawstring hem
Mid-weight, non-stretchy fabric
Machine wash or dry clean
Imported
68% Polyester 32% Cotton",0.3
DOLCE&GABBANA,Printed shell hooded jacket,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/casual-jackets/printed-shell-hooded-jacket/1647597335182698,394,USD,https://www.theoutnet.com/variants/images/1647597335182698/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Logo-print
Drawstring hood
Knitted trims
Zip pockets
Zip fastening through front
Fully lined
Lightweight, non-stretchy fabric
Dry clean
Made in Italy
100% Polyester",0.4
GABRIELA HEARST,Miller linen and cotton-blend corduroy blazer,https://www.theoutnet.com/en-us/shop/product/gabriela-hearst/jackets/blazers/miller-linen-and-cotton-blend-corduroy-blazer/1647597336944081,675,USD,https://www.theoutnet.com/variants/images/1647597336944081/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Corduroy
Linen and cotton-blend
Buttoned cuffs
Chest pocket
Two front flap pockets
Button fastenings through front
Mid-weight, non-stretchy fabric
Dry clean
Made in Italy
53% Linen 47% Cotton",0.9
BURBERRY,Embroidered shell jacket,https://www.theoutnet.com/en-us/shop/product/burberry/jackets/casual-jackets/embroidered-shell-jacket/1647597339136488,672,USD,https://www.theoutnet.com/variants/images/1647597339136488/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Shell
Embroidered
Buttoned cuffs
Chest pocket
Button fastenings through front
Fully lined
Mid-weight, non-stretchy fabric
Dry clean
Made in Italy
100% Polyamide",0.2
